year,title,excerpt,decade
1925,"THE New York Philharmonic Orchestra will broadcast three concerts this week from the Lewisohn Stadium, City College. The orchestra will be under the direction of Fritz Reiner, guest conductor and leader of the Cincinnati Symphony Orchestra.   FEATURE EVENTS BOOKED FOR BROADCASTING THIS WEEK",Three New York Philharmonic Orchestra Concerts and Numerous Bands Top the Program -- Symphony Orchestra at WEAF Tuesday,1920
1923,"memorial services 500 yrs after death, cat is deprived of credit for his success London Pays Honors to Dick Whittington",Cat Is Deprived of Credit for His Success,1920
1923,"IDAHO FALLS, Idaho, June 28 (Associated Press) -- Declaring that the need of the present is to shorten the gap between producer and consumer, President Harding in an address here today proposed a plan of co-operation among consumers, financed in part at least through a carefully organized and supervised adaptation of principles of the savings, bank or the building and loan society.   Harding Plan for Consumers,",,1920
1920,"The grafting of a synthetic finger on a soldier's hand, from which all but the thumb was shot away during the war, has been accomplished by the Orthopedic Department of the Post Graduate Medical School Hospital.   Synthetic Finger Grafted on Soldier",Tissue from Chest Makes Useful Digit,1920
1926,Speculation on orders to tenants to vacate offices at 62 Cedar St TALK OF BANK SKYSCRAPER.,Chase National Orders Vacating at 62 Cedar Street by June 15.,1920
1925,"Nervous breakdown CORPORATION BUREAU GETS $521,226 IN APRIL","Reecipts for Month Constitute a New Record -- 1,995 Charters Are Granted.",1920
1929,No decision given REED WITHHOLDS ACTION ON VARE,"'Can't Hit One Who Is Down,' the Missourian Tells Senate in Reporting for Exclusion. LAUDED BY THE OTHER REED Resolution to Enforce Decision of Committee, Offered Later, Is Not Likely to Be Pressed.",1920
1929,Herzl Memory to Be Honored.,,1920
1928,On J H De Bragga's departure from Jackson Hts Repub dinner NO SLIGHT TO HOOVER.,Mr. De Bragga Left Jackson Heights Dinner to Keep Other Engagements.,1920
1927,Will finance N Y-Paris flight by R E Byrd next Spring WANAMAKER BACKS BYRD'S PARIS FLIGHT,"Will Finance $40,000 Plane and $60,000 Other Expense -- Trip Probably in June. MAY BE RACE WITH FONCK Purpose to Prove Efficiency of Aircraft -- Machine With Radius of 4,000 Miles Being Built.",1920
1924,Assn for Unity of Russia and Russian Officers' Club give her royal honors ROYAL HONORS PAID TO GRAND DUCHESS,""" Hail to the Czar!"" Played by Orchestra at a Reception at the Plaza. GREETED AS ""HER MAJESTY"" She Gives Out Letters in Which Cyril Vainly Sought Support From Czar's Mother. ROYAL HONOR PAID TO GRAND DUCHESS",1920
1927,Confers with delegation of oil men on alleged confiscation OIL MEN PROTEST AGAIN TO KELLOGG ON MEXICO,They Ask That We Make Strong Representations to Calles on Alleged Confiscation.,1920
1920,IN THE CURRENT WEEK,,1920
1920,TOPICS IN WALL STREET.,Market Reactionary.,1920
1920,"THE group of New England authors who were the glory of American literature in the third quarter of the nine  teenth century-Emerson, Hawthorne, Longfellow, Whittier, Lowell, Holmes and Parkman--have fallen upon evil days.   When Boston Was ""the Home of American Letters""",,1920
1925,Central A.A.U. Swim Dates Set.,,1920
1937,"Loyalists resist Rebels, Aragon lines",Mussolini congratulates Franco on northern victory ARAGON LINES STAND AFTER STIFF FIGHTING; But Rebels Report Victories Near Sabinanigo and Saragossa--Mussolini Greets Franco,1930
1931,Sen Wheeler warns Dems that 3rd party will spring up if Roosevelt is not nominated PREDICTS THIRD PARTY IF ROOSEVELT LOSES,Wheeler Warns Democrats of Bolt if 'Eastern Bosses' Bar Nomination of Governor.,1930
1931,RALPH T. SCHULTZ DIES,AN ADVERTISING ARTIST; Joined The World 32 Years Ago --Later Art Director of Leslie's Weekly.,1930
1936,Int on Leftist plan for offensive in north against Spanish rebels LEFTISTS PLANNING DRIVE FROM NORTH,"Ready to Push the Rebels Back Within Range of Loyal Guns in Mountains, Leader Says.",1930
1931,Okla Corp Comm increases allowable production of Okla City field CRUDE OIL PRICES OUT AS OUTPUT RATIO RISES,Stanclind Posts Lower Rates When Lid on Oklahoma City Field Is Tilted.,1930
1939,Rept on N Y C recital ticket sale and on tour BIG SALE FOR PADEREWSKI,Garden Two-thirds Taken for His Concert on May 25,1930
1931,PRINCE BIBESCO IS MOVED.,Physicians Believe He and Others Hurt In Crash Will Recover.,1930
1939,"ROCHESTER, N.Y., Sept. 23 (AP) --After Estel Crabtree's ninth-inning homer with two out had tied the score at 6--all, Rochester Red Wings pushed over a run in the twelfth to defeat Newark Bears, 7--6, tonight and square their International League play-off series at three games each.   RED WINGS DEFEAT BEARS IN 12TH, 7-6",Asbell Delivers Winning Hit to Give Rochester Tie in Play-Off Series CRABTREE SQUARES COUNT Connects With Two Aboard in Ninth to Tie Score for Victors at 6-All,1930
1933,Lr on rest centre for women Rest Centre for Women.,,1930
1935,"WASHINGTON, Aug. 6. -- Chairman O'Connor of the House Rules Committee said tonight, after committee investigators, armed with a subpoena, had journeyed to the Virginia estate of Patrick J. Hurley in search of H.C. Hopson:   Agents Sent to Hurley Home.",,1930
1936,"PITTSBURGH, Jan. 25. -- Emphasis on intelligent participation in the social order is the aim of the revised curriculum at Pennsylvania College of Women, effective next Fall. The new curriculum, planned by the faculty and approved by the board of trustees, divides the college program into two parts.   Penn College for Women Alters Courses To Emphasize Studies in Social Order",,1930
1936,close vote Primary Vote Close in Florida,,1930
1938,"Real-life Dionne quintuplets sing, dance and play with puppies. THE SCREEN","' Five of a Kind,' All Dionnes, Is Shown at the Globe; Notes on 'Storm' and 'Irish and Proud of It' At the Rivoli At the Belmont At the Teatro Hispano",1930
1938,ed STATUE TO PAVEL,,1930
1937,"Data from rept to SEC ULEN & CO. REVEAL PAYMENT OF $158,000",Report to SEC on Salaries Tells of Servicing of Polish 8s Held by the Concern,1930
1937,Formed NEW INVESTMENT CONCERN,"Granbery, Marache & Lord Start General Business on Monday",1930
1932,"Vs Stevens STEVENS TECH BOWS, 14-4.",Loses to Union College Nine In Battle at Hoboken.,1930
1932,Miss Amory Gains Golf Final.,,1930
1934,"PARIS, Oct. 1. -- The Bourse continued its downward trend in dull trading today. The volume being reduced to a minimum, the market now is particularly sensitive, and offers which normally would be absorbed without affecting general levels are causing appreciable losses.   Trend Downward in Paris.",,1930
1933,"NEWS OF MARKETS IN LONDON, BERLIN",Trading on English Exchange Featured by Sharp Rise in Reich Bonds. CREDIT CONDITIONS EASY German Boerse Ends the Week With Prices Irregular and Turnover Small.,1930
1933,13 missing in 3-day snow storm in Rocky Mt States MANY MAROONED BY SNOW IN WEST,Ten of 13 Missing in Three-Day Storm in States Bordering Rockies Are Located.,1930
1934,"PARIS, Oct. 27. -- President Roosevelt's latest speech brought disillusionment here to those who had been expecting sensational utterances.   ROOSEVELT SPEECH WEIGHED IN PARIS",Sensational Views Are Found Absent From Address at Bankers Meeting. OUTLOOK FOR THE DOLLAR President Held as Showing No Desire to Arrive at Stable Currency.,1930
1930,Election of officers CHINA SOCIETY ELECTS.,Newly Chosen Directors Name General Harbord President.,1930
1939,SS St John arrives with 437 ONLY 437 BROUGHT BY REFUGEE LINER,Completion of Mass Exodus Seen as Ship Brings Small List,1930
1939,"Mrs. Elizabeth Solovieff and her 12-year-old daughter, Vivienne, died yesterday morning of bullet wounds inflicted by the husband and father, Aaron M. Solovieff, cantor in a San Francisco synagogue, who wounded them fatally and killed himself after he had become infuriated at his estranged family's refusal to allow him to return.   MOTHER AND GIRL, SHOT BY CANTOR, DIE",Bullets Fired by Solovieff in Family Row Prove Fatal to Wife and Daughter,1930
1937,"S on educ, Deerfield Acad commencement EDUCATION HAILED AS ABILITY TO SEE",Dr. Park of Wheaton Gives Commencement Address at Deerfield,1930
1937,"H Cooper and H Smith win Cooper-Smith Win Inverness Golf Honors As Armour Misses a Putt Worth $3,000",,1930
1932,"Bulger, B BOZEMAN BULGER DIES SUDDENLY, 54",Sports Writer and Playwright Won Lieutenant Colonelcy in the World War. WAS CITED FOR BRAVERY Took Part Also in Spanish-American ConflictuFamous for His Witu A Descendant of Soldiers.,1930
1934,Dr E W Kemmerer says inflation fear retards recovery HITS CURRENCY LAWS.,Kemmerer Says Inflation 'Fears' Are Curbing Business.,1930
1934,Ed on his theory of Aryan head measurements PILLOWS AND HEADS.,,1930
1939,Sam Minskoff and associates have completed the assembling of their plot at the northeast corner of Park Avenue and Seventy-first Street and announced that the building they will erect there will be an eighteen-story and penthouse ...   SITE IS ASSEMBLED FOR 18-STORY HOUSE,Minskoff Interests Get 2 More Homes to Complete Plot at Park Ave. Corner,1930
1933,Suggestions for reduction of costs RAILROADS SEEKING A LIGHTERAGE PLAN,"Worried by Possibility of Government Action if They Do Not Reduce Costs. BIG WASTE HERE CITED Only 800 of Their 2,000 Marine Units in Use, Shipping Men Say -- Merger Is Urged.",1930
1936,Oxford and Cambridge Univs of Eng to play member teams of Eastern Rugby Union TWO BRITISH TEAMS TO PLAY RUGBY HERE,Oxford and Edinburgh to Make Trip This Spring -- Montreal Squad to Visit New York.,1930
1935,to be sworn in TO SWEAR IN SCHURMAN.,Mayor to Give Oath to New Chief Magistrate Tomorrow.,1930
1931,Independent operators of Kan and Okla receive setback in search for market when Prairie Oil & Gas Co decides not to accept relief plan INDEPENDENTS FAIL TO SELL EXCESS OIL,"Prairie Company Refuses to Buy ""Distress"" Stocks to Relieve Small Producers. ANOTHER PLAN IS SOUGHT Nation's Crude Output Declined In November, Continuing Drop to Sixth Month.",1930
1932,Marries A Newhall MISSNElflALLIED TO PROF. STILLWELL,"Ceremony Held in St. George's, Hanover Square, London, for American Archaeologists. ROMANCE BEGAN IN ATHENS Bridegroom Director of Classical School ThereuBride Noted for Discoveries in Excavations.",1930
1938,"Williams, Gordon P",C O Schwab Caroline Schwab and Gordon P. Williams Wed in St. James Episcopal Church Here,1930
1932,"Rept charges moral laxity, fraud in prison supplies, and freedom of prisoners to roam about Islands SAYS CONVICTS HELD CELL KEYS IN HAWAII",Report to Judd Also Charges Moral Laxity and Fraud in Prison Supplies. VISITS TO OUTSIDE ALLEGED Conditions at Oahu Said Now to Be Improved -- Darrow to Take Massie Case if Doctor Consents.,1930
1930,Repr Sproul favors debenture plan,Repr Garner may aid in keeping it in bill HOUSE WILL DISCUSS TARIFF FOR A WEEK; 'Coalitionists' There Win Agreement to Take Up SomeSenate Rates on Floor.ACTION TO START MONDAY Snell Will File Rule for Pre-Conference Procedure--Fight forDebenture Initiated. Garner Ready to Compromise. Debenture Plan Taken Up.,1930
1932,"Syracuse Six Wins, 3 to 2",,1930
1931,J H Thomas refuses to answer questions in House of Commons on plans for Govt control of commerce WITHHOLDS TRADE PLANS.,Thomas Refuses to Answer Commons Question on Import Control.,1930
1932,Bought at auction by U S Shipping Bd LINER MANHATTAN BEADY TO GO TO SEA,"Largest American-Built Ship Will Take Company Leaders on Trial Run Saturday. SPECIAL CACHET FOR MAIL New Government Imprint Expected to Attract 100,000 Letters for Maiden Voyage.",1930
1939,1938 estimates: Retail Dry Goods Assn Controllers Cong STORE SALES DROP PUT AT 7.5% FOR '38,"Improvement in Last 2 Months Indicates Retail Comeback, Controllers Declare SPRING RISE PREDICTED Kleinhaus Says Signs Point to Volume Gain With Unit Value Increased",1930
1935,"IN America the essay has become the vehicle for information. Very few American writers continue the personal essay. In England, however, this literary form remains the medium for expressing an author's personality. And Desmond MacCarthy, a well-known English critic, is one of the better English essayists.   Desmond MacCarthy's Rewarding Essays",EXPERIENCE. By Desmond MacCarthy. 311 pp. New York: Oxford University Press. $2.50.,1930
1939,"The Duke and Duchess of Marlborough and their younger daughters, Lady Caroline Spencer-Churchill, and Lady Rosemary Spencer-Churchill, are returning today to the Waldorf-Astoria from...   Social Activities in New York and Elsewhere",NEW YORK,1930
1934,Plans reception for Sen Copeland Copeland to Be Honored.,,1930
1931,W. HOWARD METCALF.,Leader in Auto Trade Circles Dies in Philadelphia at 64.,1930
1933,Engaged to A Cohen MISSOLIYEIALTON EN&AaED TO MARRY,"Garden City Girl to Become Bride of George F. Penny Early in November. IS STUDYING VOCAL MUSIC Fiance, Also of Long Island, Is Associated With Chemical Firm in New York.",1930
1932,"Washington Square outdoor sale nets $1,102 in day SAYS HOOVER KEPT US ON A GOLD BASIS","Corey, in New Book, Credits Him With Blocking Catastrophe of World-Wide Influence. X REPLY TO HOSTILE CRITICS Author Pictures President as ""Great Engineer,"" an Efficient Mine Manager and a Humanitarian.",1930
1931,ARRIVAL OF BUYERS,,1930
1937,E Sienkiewicz (E Dryer) pleads guilty to running her down with auto,committed for sanity test ADMITS AUTO ATTACKS; Bronx Man Sent to Bellevue After Running Down Women,1930
1930,Principal Resources and Liabilities of Reporting Member Banks in Each Reserve District on Feb. 5.,,1930
1937,"loss estimated at $60,000","investigation; illus $60,000 MAIL THEFT CLUELESS MYSTERY; Postal Men Call Seizure of 11 Bags From Truck Their Most Baffling Crime",1930
