year,title,excerpt
2006,Op-Ed article by University of Illinois Prof Robert Bruegmann disputes suggestion that suburban sprawl in New York City metropolitan area is slowing,"holds that, historically, older suburbs become more like urban core and as suburban fringe expands, rest of urban area changes; holds there is little evidence that sprawl is necessarily detrimental to health of central cities; holds policy makers should reject shopworn notions about sprawl and concentrate on making entire region more efficient and attractive place to live (M) Poor, Misunderstood Sprawl"
1941,Apptd Pan Amer Union music div chief PAN AMERICAN UNION ADDS MUSIC DIVISION,Charles Seeger Is Appointed Chief of New Office
1954,"CLEVELAND, Oct. 2 -- Maybe taking four straight World Series games from the Indians was too easy for the Giants. Maybe the league champions were confident they could do it from the start. But certainly the players failed to stage any uproarious demonstration today as they returned to their dressing room after the clincher.   Champions Quietly Happy After Humbling Cleveland",CHAMPIONS SHOW LITTLE EMOTION
1968,Article 10 -- No Title,
1939,2d grand jury completed in Amen inquiry SECOND AMEN JURY CHOSEN IN BROOKLYN,New Investigating Body Will Be Sworn In Today
1984,Previous   Year Key Rates,
1937,Jester wins prize in Amer Assn of Coll Comics contest COLLEGE PRIZE WON BY COLUMBIA JESTER,Comic Magazine Adjudged Best in Field--Cup Presented to Editor at Dinner
1948,"FIVE operas, Gluck's ""Orpheus,"" Beethoven's ""Fidelio"" and Mozart's ""Magic Flute,"" ""Abduction From the Seraglio"" and ""Marriage of Figaro,"" will be done at the Salzburg Music Festival this summer. The festival will open July 27 and continue till the end of August, with the events so arranged that visitors staying about a week will be able to hear most of the works in the repertoire.   THE WORLD OF MUSIC: SALZBURG FESTIVAL PLANS","Operas by Gluck, Beethoven and Mozart Listed for This Summer"
2007,"Democratic voters are considerably more satisfied than their Republican counterparts that their party’s candidates are addressing the issues they most care about, according to the latest CBS News poll. Democrats Like What’s Being Said",
1955,"Olin Mathieson Chem Corp plans $74,056,390 primary aluminum plant, Ohio River Valley","confs with Amer Gas & Elec and Pittsburgh Consol Coal Co on site and power; Mathieson recd ODM ctf for it in '52 OLIN SET TO BUILD ALUMINUM PLANT; Chemical Company Confers With Utility and Coal Seller on $79,000,000 Unit's Site"
1955,"Coffee futures fell sharply yesterday on the New York Coffee and Sugar Exchange, following news that Brazil had abandoned the export price minimum.   COFFEE DIPS HERE ON NEWS FROM RIO",General Liquidation Ensues -- Other Commodities Are Irregularly Lower
1970,"Found shot to death near his car in garage in downtown Detroit, Mich","police know of no motives, have no suspects; his role as Mich Civil Rights Comm dir discussed; por Civil Rights Chief In Michigan Slain"
1954,EMILY BURGER'S TROTH,Air ForoeEx-Nurse and Airman 2/c R. E.'Uahaney Engaged
1947,"arrive, Anchorage, Alaska Cub Pilots Reach Anchorage",
2011,The Rio Grande Valley is South Texas’s birding mecca. Birding in the Lower Rio Grande,
1989,"LEAD: In the latest border hostilities between New York and New Jersey officials, state legislators here today introduced ''retaliatory'' bills to raise income taxes for some of the 100,000 people who live in New York but work in New Jersey. Jersey Lawmakers Plan Retailiatory Tax on New Yorkers",
1967,US Appeals Ct upholds Dist Ct Jan '66 dismissal of suit by 1 dr and 10 cancer patients seeking to keep med socs from interfering with Krebiozen distribution Court of Appeals Sustains Dismissal of Krebiozen Suit,
1982,The state and townships within 100 miles of the Three Mile Island nuclear plant have lost a bid to recover expenses stemming from the worst commercial nuclear accident in the nation's history. Expenses Plea Rejected In Nuclear Accident,
1973,SAN FRANCISCO (AP) &#8212,"A sign in a delicatessen here says: &#8220;If you can't smell it, we ain't got it.&#8221; ‘Dollar‐and‐Scent Sales’"
1968,Fulbright says Amer ships in incident were spying and at least once violated N Vietnamese territorial waters,says Sen misunderstood incidents when it passed resolution Fulbright Reports Violation In Tonkin Incident of 1964
1922,DAMAGED SHIP RETURNS.,The Princess Matolka in Port With Damaged Steering Gear.
1964,"RED DEER, Alberta, April 20 (Canadian Press)&#8212","Five cars were forced out of the 4,000mile cross&#8208;Canada auto rally today when the field drove into snow&#8208;covered roads at a rivercrossing 100 miles southwest of this central Alberta town. Five Cars Are Forced Out Of Canadian Rally by Snow"
1927,Urged by 1st Av Assn FIRST AVENUE BODY URGES QUEENS TUNNEL,It Sees Thirty-eighth St. Connection as Aid to Trade in East River Section.
1994,"For the second time in four days, both live and simulcast racing were canceled at Aqueduct yesterday because of the weather. No decision on today's racing was expected until this morning.   Richard Hamilton, the steward for the New York Racing Association, said that yesterday's program was canceled at 9:30 A.M. because the forecast indicated that sleet and freezing rain would continue and travel would be dangerous. Weather Halts Aqueduct Card",
2011,The only real surprise at last night’s Golden Globe awards came on the red carpet: It looked as if Los Angeles was in the grips of a stylist strike. It Sure Wasn’t Pretty | A Golden Globes Recap,
1941,Salvador and C R reptd tightening 5th-column curbs ANTI-AXIS MEASURES TIGHTENED BY LATINS,Curbs on Fifth-Column Activities Spurred in Central America
1960,LLOYD STRESSES TALKS,Briton Says U-2 Events Make Summit 'More Necessary'
2004,"Russia's largest hydroelectric dam, generating power for vast region in Siberia, is subject of legal struggle stemming from Russia's decision more than decade ago to sell off dam","Khakassia, impoverished region facing increase in electricity prices, is challenging decision to privatize, and federal arbitration court in Siberia has agreed with region's Governor Aleksei I Lebed that country had no legal basis for selling system to Unified Energy Systems, private company; under pressure from court, Pres Vladimir Putin ordered Deputy Prime Min Aleksandr D Zhukov to renationalize dam, returning its shares to national coffers, but Zhukov backed off; outcome now depends on appeal by Unified Energy Systems to country's highest arbitration court; photo of disputed Sayano-Shushenskaya hydroelectric dam; map (M) Siberian Dam Generates Political Wrangle Over Power"
1929,Obituary 5 -- No Title,
1996,"Bachman Information Systems Inc. completed the acquisition of the closely held Cadre Technologies Inc. yesterday for $27.3 million. Under terms of the agreement, the companies formed a newly named entity called Cayenne Software Inc. Based on Bachman Information's closing price on Thursday of $6.625, the acquisition is valued at $27.3 million. The acquisition creates a company that is among the 50 largest independent software companies in the world, the companies said. Cayenne, based in Burlington, Mass., will have annual sales of about $70 million. Bachman Information develops and markets data base design software. Cadre Technologies, of Providence, R.I., makes software for personal computer networks installed by corporations.    COMPANY NEWS",BACHMAN INFORMATION COMPLETES CADRE TAKEOVER
1960,Article 5 -- No Title,
1957,Held in Series Ticket Scalping,
1933,RED SOX.,
1956,kidnap area rechecked,parents end appeals KIDNAP AREA RECHECKED; F.B.I. Men Again Visit Store --Police Hunt Bogged
1966,Arizona Floodwaters Recede,
1971,WNET‐TV announces that it will resume live coverage of Knapp hearings following pub protest over cessation of coverage Channel 13 to Resume Coverage of Hearing,
1959,Ulrich-Nielsen Duo Wins,
1925,Indicted LOS ANGELES DENTIST INDICTED FOR MURDER,"Police Try to Trace Source of $100,000 in Bonds and Seek Woman as Slaying Helper."
1953,Netcher Estate Goes to Widow,
1937,Data on compensation of officials from repts to SEC SEC REVEALS SALARY DATA,"General Electric Paid $146,500 Each to Young and Swope in 1936"
1978,"H Mitgang ints Richard E Leakey, co-author with Roger Lewin of book, Origins, on human evolution and aggressive instincts",Leakey por (M) BEHIND THE BEST SELLERS
1946,dried products prices to rise as result of decontrol and sharp demand by distillers DRIED FRUIT PRICES SLATED FOR RISES,"Advances of 100% Forecast for Raisins, Currents, as Distillers Increase Bids"
1940,There are few colleges where basketball is more popular than at St. Francis.   ST. FRANCIS BOASTS OF POWERFUL TEAM,"Cooney Keeps Two Quintets Intact, Using the 1939-40 Group as Starting Unit BRAGINETZ SCORING STAR Agoglia, Bussell, Ptak and Malfitano Are Others on the No.1 Combination"
1936,"at Vera Cruz, waiting for munitions cargo SPANISH SHIP TO GET ARMS",Sil at Vera Cruz Awaiting a Cargo for Government Forces.
1964,"Sacramento County, Calif, grand jury proposes new curbs on holding cos",other recommendations California Grand Jury Proposes New Savings and Loan Controls
2016,"From the archives of the International Herald Tribune: Seamen’s strike forces Britain to proclaim a state of emergency, in 1966. 1966: Strike Emergency in U.K.",
1988,LEAD: The United States Supreme Court today blocked the execution of a Florida prisoner whose innocence has been proclaimed by opponents of capital punishment in this country and abraod. Court Blocks Florida Execution in Cause Celebre,
1955,Dulles returns to Geneva Dulles Back in Geneva,
1989,"LEAD: An article on Monday described a rise in the number of lesbians who are bearing children, usually after artificial insemination. It included the psychological speculation of clinicians, whom it did not identify, that children of lesbian parents might develop problems in intimate relationships or sexual identity. Editors' Note",
1964,Children of the Lexington School for the Deaf will perform with stage and screen players in &#8220,Without the Sound of Music&#8221; the evening of June 3 at the Hunter College Playhouse. The dance and dramatic numbers will be inspired by the collaborations of Richard Rodgers with Lorenz Hart and Oscar Hammerstein 2d. LexingtonSchool For Deaf to Give Playhouse Show; Actors to Join Students in ‘Without the Sound of Music’ at Hunter
1921,Paring the Selling Expense.,
1928,"VIENNA, June 7.--Owing to the stagnation of business, interest of the public in all of the Central European stock markets is slackening.   MARKETS GO LOWER IN CENTRAL EUROPE",Stimulus From Advance on Other Stock Exchanges Proved Only Temporary. HIGHER MONEY A HANDICAP Disappointment Over Failure to Secure Foreign Capital for Increasing Needs of Industry.
1939,En route to N Y World's Fair to probe charges against Cuban Village dances TO INVESTIGATE DANCES,
1952,"Adolescent boy in rakish French family. Some froth and sensitivity, but firmly suggestive and played like a house afire. THE SCREEN IN REVIEW","' The Happy Time,' Adaptation of Stage Play, With Boyer, Has Bow at Music Hall"
1935,Women's grass ct championship MISS PAGE WINS AT NET.,Beats Miss Abbot In Grass Court Play -- Miss Hirsh Victor.
1947,"WASHINGTON, Sept. 6 -- Senator Joseph H. Ball, Republican, of Minnesota, a leading exponent of labor law revision at the recent session of Congress, declared today that the Taft-Hartley Labor Relations Act was ""so far working very well"" and was being ""quite generally observed.""   BALL HAILS STATUS OF NEW LABOR LAW",He Says It Is 'So Far Working Very Well' and Industrial Strife Is at Low Ebb
1932,TOLLEY'S TEAM TRIUMPHS.,Scores by 6 and 5 Over Guilford and Ross at Brookline.
1929,Daughter born A Daughter to Mrs. W. Schuette Jr.,
1982,"The G.D. Searle & Company said it would market the artificial sweetener Nutrasweet, its brand name for Aspartame, in Eastern and Western Europe, through a venture with Ajinomoto of Japan. Searle-Ajinomoto Venture in Europe",
1934,"WASHINGTON, June 30. -- Democracy at home and abroad, twenty years after the war to make the world safe for it, will be a major subject of discussion at the eighth Institute of Public Affairs which will open tomorrow and continue through July 14 at the University of Virginia.   INSTITUTE TO STUDY WORLD DEMOCRACY","Public Affairs Leaders to Gather Today at the University of Virginia. SESSION TO RUN 2 WEEKS National, International Problems of Finance and Economics Are on Program."
1957,Business Records,
1941,Dispatches on P I situation No Bombing of Manila,
1955,in car accident there U. S. Aide Injured in Sweden,
1930,Death MRS. ISABELLA TYLER DIES.,"At 70 Had Hiked 8,500 Miles With 96-Year-Old Husband to Delaware."
2016,"A crossover oldies tour includes Tone Loc, Kid ‘n Play and Salt-N-Pepa. Celebrating When Hip-Hop Had Its Crossover",
1928,"Council dinner, Northampton SEES DERBY AS FOE OF JAZZ.",Smith College President Says We Are Returning to Victorianism.
2006,"After a story on Al Gore’s “An Inconvenient Truth,” a Bangor, Maine, station manager told his staff not to cover global warming again until “Bar Harbor is underwater.” At 2 TV Stations in Maine, What Al Gore’s Movie Says Isn’t News",
1987,"LEAD: THE BEGINNING OF THE vacation season has sent sales of camcorders soaring. These handy camera/ recorder combinations have captured the imagination of Americans much as home movies did a few decades ago. Or, to draw earlier parallels, you might say that the camcorder is today what diary and sketchpad were to THE THREE FCES OF CAMCORDERS",
1939,BOND OFFERINGS OF THE WEEK,
1960,Ann Belle Rothenberg To Be Married in June,
1930,FREE IN WESTBURY MURDER,"Thomas Bolger Did Not Know of Hold-Up Plot, Court Holds."
1929,COTTON PRICES RISE 10 TO 23 POINTS NET,Market Closes With Quotations at Top After Recovering From Early Liquidation. WEATHER CAUSES COVERING Unfavorable Report of Conditions in the South Expected in Weekly For Summary This Morning.
1976,Ed on Lebanese crisis notes Israel is creating mini-protectorate in southern Lebanon,holds Lebanese conflict could explode into general Middle East war The Incredible Cockpit of Lebanon
1954,St. Peter's Downs Upsala,
1928,Movements of Naval Vessels.,
1982,Tom Wopat and John Schneider will return to their roles on the CBS prime-time series ''The Dukes of Hazzard'' before the end of the television season.   The two actors have dropped the lawsuits they filed last summer against Warner Bros. Two 'Hazzard' Actors Will Return to Series,
1985,"For the last half decade, he had shuttled between the N.H.L. and the minors, and in all that time he had never scored a big-league goal.   One for Mom",
1992,*3*** COMPANY REPORTS ** The New York Times Co.  reports earnings for Qtr to March 31,
1970,"sources say US Atty's office, investigating alleged crime and corruption in Hudson County, is prepared to demand access to all contracts entered into by Jersey City Incinerator Auth with N Jersey Incinerator Co and Hudson-Jersey Sanitation Co","N Jersey operates Jersey City's munic incinerator under $25-million, 17-yr contract, for which it was sole bidder INQUIRY IN JERSEY MAY BE EXPANDED"
1938,Copeland asks apptmt of special Sen com to continue investigation,N Y Maritime Council condemns attack on H Bridges as movement against unions SENATORS RECEIVE REPORT ON BRIDGES; Records Include Immigration Unit's Recommendation for Deportation Warrant
1992,"MRS. VARGAS AND THE DEAD NATURALIST
By Kathleen Alcala.
Calyx Books, P.O. Box B, Corvallis, Ore. 97339","cloth, $18.95; paper, $9.95. IN SHORT: FICTION"
2005,"Many states object to proposed overhaul of more than two dozen Air National Guard units, most contested part of Pentagon's larger plan to shut, shrink or realign hundreds of military sites nationwide","Air Force wants to retire aging aircraft from many Guard units, close or consolidate some of their bases and give some units new missions it says are better suited to today's national security environment; state officials around country argue that plan would leave them vulnerable to terrorist attacks; Illinois and Penna have filed suit in federal court contending that Defense Dept cannot move Air Guard units without consent of state governors, who share authority with president over use of units; members of independent commission who are preparing to begin their final assessment of Pentagon plan publicly express alarm at Air National Guard recommendations; Air Guard, with 106,000 members, has units stationed at 24 Air Force, Air Guard or Air Reserve bases, as well as at 63 civilian airports across country; photo; map;diagrams (M) States Opposing Plan to Shutter Air Guard Bases"
1972,Johns‐Manville Corp on Nov 6 announces $12‐million expansion program to increase polyvinyl chloride pipe production capacity Johns‐Manville to Expand,
1929,"LITTLE AMERICA, Antarctica, Oct. 16.--A line of dog sledges moved across the first slope of the Barrier south of the Bay of Whales yesterday afternoon as the supporting sledging party started its long trip southward.   BYRD'S DOG TEAMS START SOUTH ACROSS THE BARRIER TO OPEN EXPLORING PATH","COMMANDER SEES THEM OFF He Goes Several Miles With Supporting Party to Aid It AWAY IN CLEAR WEATHER Sledges Make Actual Start Onto Rough Ice Field From Bay Southwest of Camp. FOUR VETERANS IN GROUP Walder,, De Ganahl, Braathen and Bursey Will Lay Bases Far Into Antarctica. Byrd Watches Them Off. Pass Promontory of Barrier. BYRD'S DOG TEAMS START OVER BARRIER Wide Pressure Ridge a Problem Byrd Finds Baby Seal Near By."
2004,"Pat Jordan profiles Matt Harrington, pitcher who was drafted by Colorado Rockies and offered $4 million, but has landed in independent leagues making $800 a month","Harrington was promising talent at 18, but now at age 22, he is not pitching as well and offers have diminished; photo (M) The Holdout"
1975,"UNIONDALE, L.I., Nov. 18 &#8212","The Buffalo Sabres, showcasing a new and more defensive style, continued their old habit of beating the New York Islanders tonight, this time by a score of 3&#8208;1. In their four seasons, covering 16 games, the Islanders have never beaten Buffalo. Knicks Down Blazers, 101‐92; Islanders Bow, 3‐1, to Sabres"
1971,Repr Ryan scores Adm's request for $2-million to combat problem of paint lead poisoning of children as insignificant,"notes 200 children die each yr from lead poisoning, while 800 others suffer severe injury; Adm request is less that NYC alone spends to control lead; Dr E O Rothschild, NYC health official Dr V Guinee and Surgeon Gen Steinfeld discusses lead problem, HR subcom More Federal Funds Urged for the Fight Against Lead Poisoning in Children"
1936,"Gets order for $100,000 air conditioner Buys $100,000 Air Conditioner.",
1964,Civil Service Comm to conf on order,disputed questions listed CITY WILL WEIGH RULING ON TESTS; Civil Service Panel to Meet on Police Examination
1969,1st of 40 cypress trees felled by bulldozer as part of expansion of univ's football stadium despite 3-day protest by over 300 students and faculty members,"police dislodge some 30 protesters from trees, arrest 21; Sierra Club, natl conservationist orgn, gets temporary injunction to halt clearance; Regents Bd chmn Erwin comments Tree Lovers Lose Skirmish in Texas As Cypresses Fall"
1969,Mrs. Langley Wed To W. L. Richter,
1957,Gould--Berkley,
2000,"Article on AccessDMV, partnership between New Jersey Motor Vehicles Divison and International Business Machines Corp that offers drivers automobile registration renewal by Internet and telephone","photos (M) Next Innovation (After Inspection), Registration"
1984,"A Federal appeals court ruled today that reparations paid by the West German Government to victims of the Holocaust may not be counted as income in determining the victims' eligibility for United States Government disability benefits.   The decision by the United States Court of Appeals for the Ninth Circuit reverses a ruling last June by a three-judge panel of the same court in the case of Felicia Grunfeder.    Her experiences as a Jewish child in Nazi-occupied Warsaw left her with serious psychiatric problems that qualified her for disability benefits under the Supplementary Security Income program. But those benefits, about $119 a month plus Medicaid, had been terminated in 1980 when the Social Security Administration learned that she received a small monthly reparations payments, The payments, about $170 a month, put her annual income above the level for eligibility in the program, which is based on need. REPARATIONS TO NAZI VICTIMS HELD NOT AFFECTING U.S. AID",
2001,"Roy J Bostock is stepping down as chairman at Bcom3 Group and will be succeeded by Roger Haupt, who continues as chief executive (S) Bcom3 Chairman To Step Down",
1966,"After five weeks one in London and four roaming over southern England and southern Wales an old acquaintance like myself, who has studied and worked in the country and is married to an Englishwoman, comes out wondering what all the recent fuss about ""swinging Britain"" is about.   'There'll Always Be an England'",
1937,Plans to include officers in retirement annuity plan For Officers' Retirement Plan,
2001,Brazil's inflation rose only 0.28 percent in September compared with 0.7 percent in August,central bank increases its 2001 inflation projection to 6.5 percent (S) World Business Briefing | Americas: Brazil: Inflation Slows
2004,"Kinder Morgan Energy, pipeline partnership, acquires Kaston Pipeline Co from Western Refining for about $100 million in cash","pipeline can carry as much as 115,000 barrels of oil daily from fields in West Texas (S) KINDER MORGAN ENERGY BUYS OIL PIPELINE IN TEXAS"
1954,"Willets, A: Sting of Glory Off the Rue Michelet",STING OF GLORY. By Ann Willets. 302 pp. New York: Random House. $3.50.
1927,"Rigaud, D, girl, killed MISSING GIRL DEAD IN ELEVATOR SHAFT",Body Found Twelve Hours After School Chums and Others Stared Hunt for Her.
1999,"BRUSTMAN-Marianne Delaney. Of Stuart, FL, and Mamaroneck, NY, and former longtime resident of Larchmont, NY, died Saturday, October 30. She was 61. She is survived by her husband Leonard W. Brustman Jr. and by her daughters Suzanne Montanaro (Dr. Joseph) of Wyndham, NH, Joanne Brustman of NYC, Kathleen Rasor (Richard) of Larchmont, NY, and Karen Brustman of Red Hook, NY. Daughter of the late T. Ronald Delaney and Julia Coye Delaney. Mrs. Brustman is also survived by her brothers T. Gerald Delaney of Santa Fe, NM, and Michael C. Delaney (Charlotte) of Tequesta, FL, and sisters Sharon D. O'Connell (John) of Atlanta, GA, and Susan D. Cline (John) of Scottsdale, AZ. She was predeceased by her sister Sheila D. Griffin (Dr. William) of Lincoln, NE. Five grandchildren also survive, Zachary, Emily, and Paige Montanaro, and Drew and Ryan Rasor. Visiting will be Monday, 7-9 PM, and Tuesday, 2-4 and 7-9 PM, at the John J. Fox Funeral Home, Inc., 2080 Boston Post Road, Larchmont, NY. Mass Wednesday, 10 AM, at St. Augustine Church in Larchmont. Paid Notice: Deaths  BRUSTMAN, MARIANNE DELANEY",
1969,"Drs H Wells, D Rasmussen and I E Buff tour W Va mining towns to arouse miners and pub to demand that state Legis provide compensation for disability caused by 'black lung' disease","hold long-range aim is to make disease so expensive for mine operators that they will take steps to 'clean up mines'; Hechler pledges aid; issue has divided med profession; Wells accuses Dr C Andrews, vp for med affairs at W Va Univ, of supporting opinion that disease can be traced to cigarette smoking; Andrews denies making statement Doctors Leading Fight to Curb Miners' Disease; Tour West Virginia to Seek Union's Help -- Companies Blamed for 'Black Lung'"
1930,PITT FIVE OVERCOMES SYRACUSE BY 31 TO 28,Plays Safe Game After Taking Early 12-4 Lead to Triumph on Home Court.
1990,"In ""Salome,"" Richard Strauss's music and Oscar Wilde's setting make promises to the listener that few performers are able to fulfill. One looks to the stage for life-threatening beauty, dancing feet, a soprano voice of Brunnhildean proportions and a level of psychosexual madness unprecedented in opera.    The Metropolitan Opera's newest version of ""Salome,"" which returned to the house on Thursday night, simply adds to the pressures. The production and design were created two years ago by Nikolaus Lehnhoff and Jurgen Rose. Tall stone facades tilt inward. Skewed floors and doors defy the rectangular equilibrium of the Met's stage. Review/Opera",Timeless Depravity in Met's New 'Salome'
1993,"More than 40 people were killed early today when part of an Amtrak train hurtled off a 12-foot-high trestle into a bayou and caught fire, trapping sleeping passengers in black water up to 30 feet deep.   The accident, one of the worst on American rails since World War II and the deadliest in Amtrak's 23-year history, occurred about 3 A.M., when the Sunset Limited from Los Angeles was crossing Big Bayou Canot at 70 miles per hour on its way to Miami with 189 passengers and a crew of 17. DOZENS ARE KILLED IN WRECK OF TRAIN IN ALABAMA BAYOU",
1975,"WEDNESDAY, MAY 21, 1975 Money",
2011,Joe Blanton and Jon Lester may have the answer. How Weird Can It Get?,
1962,Four Groups to Donate Blood,
1973,"Backus, Dana C (Mrs) Mrs. Dana C. Backus, 66 , Dead",A Leader in World Peace Drive
1943,"trainees introduce NYC atmosphere into Orlando, Fla, jungle warfare training area NEW YORK RBBORN IN SOLDIERS' JUNGE",Streets in Florida Air Tactics Training Camp Named After Those of the Metropolis
1967,Army presses drive against guerrillas,charges E C Guevara has been in country twice to aid bands BOLIVIANS PRESSING DRIVE ON GUERRILLAS
2019,"The Consumer Product Safety Commission stopped short of a recall of the Rock ’n Play seat, but the American Academy of Pediatrics demanded its withdrawal. Why a Fisher-Price Sleeper Linked to Infant Deaths Hasn’t Been Recalled",
1968,"Occidental Petroleum Corp files suits, Fed and state cts, Los Angeles, Calif, charging Texaco with attempting to restrain trade and commerce in exploration of oil reserves, Latin Amer",suits are counter actions to suits filed by Texaco Suit Filed Against Texaco By Occidental Petroleum
1945,"Arrives, Trieste MOSCOW INFORMED",POTENTIAL TROUBLE CENTER IN SOUTH EUROPE
1987,"LEAD: Britain's Glaxo Holdings P.L.C., one of the world's biggest drug companies, today reported a 22 percent jump in its annual pretax profits to $:746 million, or $1.23 billion, but that was well below analysts' expectations. Glaxo Profit Up, Stock Off",
1945,"AAR repts: carloadings, wkly CARLOADINGS RISE SLIGHTLY IN WEEK","868,634 Total Is 3.6 Per Cent More Than Week Before, 0.2 Per Cent Below '44 Figure"
1966,Dr Rusk and A M Rosenthal named to US State Dept advisory panel on E Asian and Pacific affairs 19 Experts on Asia Are Named by Rusk As Advisory Panel,
1955,Obituary 1 -- No Title,
1958,"Salmony, Alf 'RED SONN, EXPERT ON JADE, 67",Retired Professor at N.Y.U. Fine /rts' School Dies on Liner En Route to Europe
1977,"IARRIVE four minutes late for the interview with my old friend, Mandel Perodin, but it doesn't matter. He has made each one of them productive by studying for the graduate philosophy course he's taking. SPEARING PERSONALLY",
1946,"Stuart, J","Tales from the Plum Grove Hills Twenty Tales, Regional and Readable"
1938,Sermons on: greatness WHISPERING' DRIVE IN ELECTION SCORED,Injecting of Religious Issue Is Held Contrary to American Spirit in Sermons Here REFUGEE APPEAL HAILED Panic Over Broadcast Linked to Fear of Hitler-Other Topics Discussed by Rabbis
1937,"With a total of 58,295 shipments, gross revenue from the air express business of the Railway Express Agency for December showed an increase of 80 per cent over the gross revenue for the new and old contract airlines in the same month last year.   BUSINESS NOTES",
1928,BLOUSES to wear with the new ensembles in which the threequarters and seven-eighths  length coats predominate are quite attractive.   BLOUSES ARE SEEN IN NOVEL DESIGNS,
1935,STOCK MARKET INDICES.,International Average Up to 52.4 From 51.9 Week Before.
1977,IMF says that gold to be sold at Sept 7 auction will be delivered in NYC (S) Gold Delivery Set for New York,
2011,"A New York-bound bus was carrying 58 passengers when it rolled over on Interstate 95, about 30 miles north of Richmond. Driver Arrested After Fatal Bus Crash in Virginia",Carrier Has Record of Violations
