year,decade,Combined_Text
1928,1920,Proposes comm to investigate charge against T A McDonald NEW JERSEY SENATE VOTES BANK INQUIRY Republicans Alter Stand When Maxson Asks Investigation of His Department. RICHARDS SEES VICTORY Realty Man Charges Political Plot Prevented Trenton Institution From Moving.
1923,1920,"pardons Mrs Anna Hozer, mother of 12 children, arrested for violating prohibition law in Mich SET FREE BY HARDING, WOMAN AGAIN IN JAIL Mother of Twelve Arrested in Michigan for Celebrating Latest Arrival With Liquor."
1927,1920,"TIGER TRACKMEN TO TOUR. Schedule First Southern Invasion, Meeting Virginia in April."
1927,1920,"So Manchuria Railway, Japan warns China JAPAN WARNS CHINA ON MANCHURIA LINE Tokio Demands Stop Be Put to Infringement on Her Rights by Chinese Railway Building. HER ROAD GOOD AS ANY HERE Part of Its Profits Are Devoted to Hospitals, Libraries, Schools and Other Philanthropies. JAPAN WARNS CHINA ON MANCHURIAN LINE"
1928,1920,METAL MARKET REPORT. 
1926,1920,Admits use of name of Queen Marie of Rumania for publicity for opening Broadway moving picture theatre WELCOME' FOR QUEEN MADE A MOVIE STUNT Press Agent Admits Use of Marie's Name Was Part of Film Publicity.
1928,1920,BUSINESS RECORDS 
1923,1920,Hobart Defeats Trinity. 
1922,1920,"Harry Wills, giant New Orleans negro heavyweight, yesterday issued a formal challenge to Jack Dempsey, world's heavyweight champion, to battle for the title. Paddy Mullins, manager of Wills,...   WILLS POSTS $2,500 FOR DEMPSEY FIGHT Negro Deposits Forfeit With State Commission to Force Match With Champion. JACK'S REPLY AWAITED Chairman Muldoon Intimates TitleHolder Cannot Hide Behind Big Financial Demand."
1927,1920,"Semi-annual report Kayser Earns $963,353 Net. "
1929,1920,"negotiations in progress CONCORD AT PLANNED FOR VATICAN ACCORD Powers Would Be Notified Thus of Italo-Papal Agreement, If It Is Approved. POPE AND GASPARRI CONFER Rome Church Circles Give Cardinal Bourne Much Credit for Favorable Negotiations. Pope Talks With Gasparri. Give Credit to British Cardinal. Doubt Pope Will Travel Much. Negotiators Are Silent. Main Issues Compromised. Many Details Remain."
1920,1920,"In his brief service as Secretary of State BAINBRIDGE COLBY has won good opinions. His transaction of the business of the department has been marked by readiness, skill and sound judgment.   SECRETARY COLBY'S MISSION. "
1929,1920,"SAVAGE SCHOOL FIVE WINS. McCoy's Two Baskets Near Close Beat St. Francis College, 32-29."
1927,1920,King's Daughters to Hold Sale. 
1920,1920,"Walks 126,400 Miles as a Carrier. "
1926,1920,Remanded to Grand Jury HELD IN WANT AD. CASE. Man Accused by Girl Who Sought Job Is Remanded to Grand Jury.
1926,1920,Stevenson Soc of Amer plans fireproof room for protection of relics in memorial cottage at Saranac Lake GUARD STEVENSON RELICS. Society Will Provide Fireproof Room at Saranac Lake Cottage.
1925,1920,"Will give away candy LEADS WORLD ON TANKERS. United States Owns 402 With a Gross Tonnage o $2,507,854."
1928,1920,"A Meysell, German, gives up attempt A Bakker, Holland, still in water TWO ATTEMPT CHANNEL.; German Girl Quits After 5 Hours, Dutch Man Goes On."
1928,1920,"Exhibit of fraudulent securities shown by Seamen's Bank for Savings SEEK FEDERAL CHARTERS Three Banks, One Here, Apply to Controller of Currency."
1925,1920,"Works, Newmann's Print Room ART: EXHIBITIONS OF THE WEEK "
1920,1920,"BERLIN, Feb. 8.--The allied list of war criminals and the covering letter accompanying it were handed to Premier Gustav Bauer at 9 o'clock Saturday night by M. de Marcilly, the French Charge d'Affaires.   EXTRADITION LIST DELIVERED IN BERLIN Cabinet Considering That and Two Allied Notes Officially Presented to It."
1922,1920,PROBLEMS IN POLAND Agrarian Reforms as a Means to Genuine Democracy
1929,1920,"Burned to death in perambulator by his mother, who confesses murder, Los Angeles, Cal ADMITS KILLING HER BABY. Los Angeles Woman Held for Murder, Blames Poverty."
1921,1920,KRAMER AND PIANI COMBINE. Will Meet Goullet and Moeskops in Team Bike Race at Newark.
1927,1920,Inner life STRESSES THE INNER LIFE. Dr. Bowie Says We Must Detach Gaze From External Things.
1929,1920,"Rockaway Av, 243, Bklyn stable 1 injured INJURED IN STABLE FIRE.; Caretaker Hurt Trying to Save Pet Horses From Flames."
1920,1920,Bank of France Statement. 
1928,1920,Kansas City Buys La France. 
1928,1920,"E J Cooper and E E Richardson fly from Rockaway, N Y, to St John, N B, en route to Moncton, N B ST. JOHN, N.B., Jan. 6--Captain "
1927,1920,"Urban, J, vs A Sklar SCOTT KNOCKS OUT MUNN IN 10TH ROUND English Champion Batters Nebraskan From Start in St. Nicholas Feature. URBAN STOPS SKLAR IN 1ST Referee Halts Semi-Final to Save Long Islander From Punishment -- Arthurs Beats Stringham."
1921,1920,Marriage Announcement 3 -- No Title 
1922,1920,BANKER TELLS OF MESSAGE. S.G. Bayne Confirms His Dispatch to Cauffiel.
1921,1920,"A quartet of New York A.C. middledistance runners carried off the Metropolitan A.A.U. four-mile relay championship last night at the Thirteenth Regiment Armory in Brooklyn, where the event was held in connection with the first annual indoor athletic meet of the Silk Athletic Association.   N.Y.A.C. QUARTET WINS RELAY TITLE Winged Foot Team Romps Away With ""Met."" 4-Mile Race at Silk A.A. Games."
1929,1920,"PEKING, Feb. 24.--At the little city of Changteho, in Honan Province, the gentry, acting through the Chinese Board of Trade, and despairing of receiving any famine relief from Nanking, have themselves organized to feed 9,000 people out of the city's population of somewhat less than 50,000.   CHINESE GENTRY FEED POOR $145 Provides 9,000 in Changteho With Daily Meal of Gruel."
1928,1920,Battling Brousseau Wins. 
1927,1920,Infant son christened Christened in Cathedral. 
1921,1920,"The notable collection of Sidney G. Really of New York and London, consisting of literary, artistic and historical properties illustrative of the life of Napoleon Bonaparte, will be sold at the ...   TO SELL COLLECTION PICTURING NAPOLEON Literary, Artistic and Historical Porperties Illustrate Life of the Emperor. GATHERED BY S.G. REILLY Deals With Bonaparte From His First Appearance In Military Affairs Until His Death."
1926,1920,"Guarded by Paris police after death threats, due to agitation in favor of Sacco and Vanzetti HERRICK RECEIVES TWO DEATH THREATS Letters Declare He Will Be Shot Upon the ""Execution"" of Sacco and Vanzetti. AMBASSADOR IS GUARDED He Says He Will Not Change His Routine, but the Police Protect Him and Embassy. HERRICK RECEIVES TWO DEATH THREATS"
1921,1920,"OFFICIAL temperatures recorded in Basra, by The Mesopotamian Times  run from 128.7 in July to 121.5 in August, and a correspondent of The Referee declares that the heat in Bagdad has been just as trying.   JAPANESE BEER IN BAGDAD. "
1927,1920,Child Is Killed by a Taxicab. 
1922,1920,Walker Is Harvard Captain. 
1925,1920,Jockey F Lux killed Article 5 -- No Title 
1926,1920,Temporarily stopped in the West by storm and cold STORM GRIPS WEST NINE DIE IN COLD; Rocky Mountain Region Thirty Below Zero -- Schools and Public Buildings Closed. AIR MAIL SERVICE STOPS Wires and Trains Crippled as Cold Wave Advances Into the Central States.
1926,1920,"Washington expresses satisfaction informally with British plan, as outlined in memorandum handed to diplomatic corps at Peking, dealing with surtaxes and customs Article 2 -- No Title "
1926,1920,"RECENTLY there has been some inquiry as to whether or no Canada has men of letters. The findings have considerably annoyed our neighbor. This is a pity when one considers what a friendly oasis and source of pleasure Canada has been for those Americans who left the blue.   A Canada Without Mounted Police THE HAPPY ISLANDS. Stories and Sketches of the Georgian Bay. By Marlow A. Shaw. Illustrations by Thoreau Macdonald. 254 pp. Toronto: McClelland & Stewart, Limited. $2."
1928,1920,14 TRAPPED IN ELEVATOR. Firemen Free St. Patrick's Eve Party in Municipal Building.
1921,1920,Fears American Papers in Canada. 
1929,1920,Visits wife's parents in Sweden Prince Leopold in Sweden. 
1929,1920,"Ed, The real happy warrior on Thomas THE REAL HAPPY WARRIOR."
1928,1920,"Differentiates H W Allen from H J Allen, lr Two Allens of Kansas. "
1920,1920,GIANTS AT POLO GROUNDS. McGraw's Men Today Begin Last Home Stand Before Western Trip
1925,1920,"The early opening of the vehicular tunnel resulted in the closing of a deal for Hudson Street property yesterday, when William S. Coffin bought from various owners the properties at 231, 233, 235 and 237 Hudson Streeet and 2, 4, 6 and 8 Renwick Street, with 503 Canal Street. Brown, Wheelock: Harris, Vought  Co. were the brokers.   LATEST DEALINGS IN REALTY FIELD William S. Coffin Assembles Plot Opposite New Vehicular Tunnel Plaza."
1923,1920,"It is a well-established constitutional principle that education is a State function. In practice this means that the State holds itself ultimately responsible for the schooling of its children. In meeting this responsibility the State leaves, and should leave, as much as possible to local initiative and should give every possible encouragement to local interest in the maintenance of good schools.   THE STATE AND THE SCHOOLS. "
1921,1920,"A number of important articles continue to show considerable resistance to a further lowering of prices, but wholesale commodity prices as a whole still trend strongly downward, 38 recessions appearing this week in the list...   THE WEEK'S PRICE TREND. Comparatively Fewer Declines Shown This Weew Than Last."
1920,1920,NEW RAIL STRIKE IN BRAZIL. Demand for Higher Wages Ties Up the Great Western System.
1925,1920,"THE New York Philharmonic Orchestra will broadcast three concerts this week from the Lewisohn Stadium, City College. The orchestra will be under the direction of Fritz Reiner, guest conductor and leader of the Cincinnati Symphony Orchestra.   FEATURE EVENTS BOOKED FOR BROADCASTING THIS WEEK Three New York Philharmonic Orchestra Concerts and Numerous Bands Top the Program -- Symphony Orchestra at WEAF Tuesday"
1923,1920,"memorial services 500 yrs after death, cat is deprived of credit for his success London Pays Honors to Dick Whittington Cat Is Deprived of Credit for His Success"
1923,1920,"IDAHO FALLS, Idaho, June 28 (Associated Press) -- Declaring that the need of the present is to shorten the gap between producer and consumer, President Harding in an address here today proposed a plan of co-operation among consumers, financed in part at least through a carefully organized and supervised adaptation of principles of the savings, bank or the building and loan society.   Harding Plan for Consumers, "
1920,1920,"The grafting of a synthetic finger on a soldier's hand, from which all but the thumb was shot away during the war, has been accomplished by the Orthopedic Department of the Post Graduate Medical School Hospital.   Synthetic Finger Grafted on Soldier Tissue from Chest Makes Useful Digit"
1926,1920,Speculation on orders to tenants to vacate offices at 62 Cedar St TALK OF BANK SKYSCRAPER. Chase National Orders Vacating at 62 Cedar Street by June 15.
1925,1920,"Nervous breakdown CORPORATION BUREAU GETS $521,226 IN APRIL Reecipts for Month Constitute a New Record -- 1,995 Charters Are Granted."
1929,1920,"No decision given REED WITHHOLDS ACTION ON VARE 'Can't Hit One Who Is Down,' the Missourian Tells Senate in Reporting for Exclusion. LAUDED BY THE OTHER REED Resolution to Enforce Decision of Committee, Offered Later, Is Not Likely to Be Pressed."
1929,1920,Herzl Memory to Be Honored. 
1928,1920,On J H De Bragga's departure from Jackson Hts Repub dinner NO SLIGHT TO HOOVER. Mr. De Bragga Left Jackson Heights Dinner to Keep Other Engagements.
1927,1920,"Will finance N Y-Paris flight by R E Byrd next Spring WANAMAKER BACKS BYRD'S PARIS FLIGHT Will Finance $40,000 Plane and $60,000 Other Expense -- Trip Probably in June. MAY BE RACE WITH FONCK Purpose to Prove Efficiency of Aircraft -- Machine With Radius of 4,000 Miles Being Built."
1924,1920,"Assn for Unity of Russia and Russian Officers' Club give her royal honors ROYAL HONORS PAID TO GRAND DUCHESS "" Hail to the Czar!"" Played by Orchestra at a Reception at the Plaza. GREETED AS ""HER MAJESTY"" She Gives Out Letters in Which Cyril Vainly Sought Support From Czar's Mother. ROYAL HONOR PAID TO GRAND DUCHESS"
1927,1920,Confers with delegation of oil men on alleged confiscation OIL MEN PROTEST AGAIN TO KELLOGG ON MEXICO They Ask That We Make Strong Representations to Calles on Alleged Confiscation.
1920,1920,IN THE CURRENT WEEK 
1920,1920,TOPICS IN WALL STREET. Market Reactionary.
1920,1920,"THE group of New England authors who were the glory of American literature in the third quarter of the nine  teenth century-Emerson, Hawthorne, Longfellow, Whittier, Lowell, Holmes and Parkman--have fallen upon evil days.   When Boston Was ""the Home of American Letters"" "
1925,1920,Central A.A.U. Swim Dates Set. 
1920,1920,"LEXINGTON, Ky., April 24.--The Kentucky racing season was started here this afternoon at the famous Lexington course under most auspicious circumstances.   MISS MUFFINS WINS LEXINGTON FEATURE Captures Hinata Stakes for Juvenile Fillies on Opening Day of the Meet."
1928,1920,"Criticizes book guilds BOOK GUILDS CRITICIZED. Soon Their Rejections Will Make Authors Famous, Wright Says."
1927,1920,I C C upholds Western rys refusal to include line in cross-country traffic TRUNK LINES WIN RULING. Commerce Board Upholds Refusal to Route Over Salt Lake & Utah.
1928,1920,BUILDING PLANS FILED. 
1929,1920,"Plans for broadcasting dedication of new ""Empire Builder"" train LISTENING IN ON THE RADIO John Charles Thomas to Sing at Dedication of Empire Builder Train--Cavalcade Concert on Saturday Night Over WEAF"
1928,1920,"Estate BUEK ESTATE TAXED $1,685. Owner of Payne's 'Home, Sweet Home' Left $300,730 Net Estate."
1925,1920,DULLNESS IN WOOL MARKET Foreign Situation Better on British Textile Strike Settlement.
1927,1920,Death DIES OF RABIES AFTER BITE. Laboratory Caretaker Had Been Attacked by Stray Dog on March 10.
1927,1920,Explanation of Count Volpi's statement on lira valuation OFFICIAL ITALY'S AIMS AS TO LIRA CLARIFIED Trade Movement Forced the Last Declaration -- Rise in Lira Possible Later.
1925,1920,"""Gov"" for hour James Doonan Jr., 13, 'Governor' an Hour 'May Become President,' Smith Tells Him"
1925,1920,"Withdraws $100,000 offer for a monument club owners adopt resolution prohibiting Spring exhibition games between winners of previous world's series CLUB OWNERS DROP MONUMENT PLANS; American League, at St. Louis Meeting, Withdraws $100,000 Offer -- Johnson Presides. NEW SPRING GAMES RULE World Series Teams of Previous Year Will Not Be Allowed to Meet -- Ebbets Plan Adopted."
1920,1920,"Mrs. James M. Cox, wife of the Democratic presidential nominee, who arrived in New York yesterday to join her husband, believes that the wife of a candidate for public office best serves his interests by making home comfortable and happy.   MRS. COX ARRIVES TO GREET HUSBAND Thrilled, She Says, by First Visit to New York in a Political Campaign. BELIEVES IN HOME MAKING Declares That Is Best Way for a Candidates Wife to Serve His Interests."
1929,1920,"Circumstances of her death reviewed NEW KILLING STIRS POLICE OF CAPITAL Shooting of Man Who Beat a Policeman Comes on Eve of Senate Inquiry. THREE OF PARTY ARRESTED Tragedy, Laid to Liquor, Follows a Succession of Murders Startling Washington."
1928,1920,NEW LEAGUE IS FORMED. New England Head Organizes Eastern Massachusetts Circuit.
1927,1920,Radio dispatch from Army-Pathe expedition in Painted Desert no word from river party ARMY RADIO HUMS IN PAINTED DESERT; Operators Aiding in Filming of Grand Canyon Link Up Fort Douglas. NO WORD FROM RIVER PARTY Indian Missionary Finds Lost Courier With Broken Car -- Takes Him to Camp Pearson.
1925,1920,"Cumming investigation will cover production hazard PRODUCTION HAZARD IN TETRAETHYL LEAD Will Be Investigated, as Well as Supposed Danger in Tetraethyl Gasoline."
1928,1920,Upward Trend Now Expected In Gross Railroad Earnings 
1928,1920,Court rules Davidson is real plaintiff and denies injunction EVENING POST LOSES SUIT AGAINST WARREN Court Rules Reporter and Not Newspaper Is 'Real' Plaintiff and Denies Injunction.
1928,1920,"Reinterpretation of section relating to second offenders cuts 2 life terms BAUMES LAW RULING CUTS TWO LIFE TERMS Ex-Alderman's Son Gets 15 Years for Larceny, and Judge Says Even That Is Too Long."
1923,1920,Underwood assails Klan UNDERWOOD ASSAILS KLAN. Says Secret Order Seeking to Enforce Laws Is Blow at Nation.
1928,1920,"King and 60,000 See England Best Scotland In 50th Rugby Match to Gain Lead in Series "
1920,1920,"WASHINGTON, Jan. 25.--Railroads would be better managed if operated by their owners under Federal supervision, Senator Wadsworth, Republican, of New York, declared tonight in a letter to G. H. Sines, Vice President of the Brotherhood of Railroad Trainmen, in response ...   DEFENDS RAILROAD BILL. Wadsworth Says Strike Prevention Is Within Government's Rights."
1927,1920,Death in fire tribute from Fire Chief Kenlon Fire Captain Dies Leading Men in Blazing Flat; Fourth Victim in 24 Hours in 3-Block Radius
1922,1920,"The steady decline in the market rates for money and the reduction of the rediscount rate by the Bank of England to 3 per cent., with the probability that such action will be followed here, as further recognition of stable and easy conditions in the money market, furnished impetus for a firm and at times broad bond market this week.   NEW BONDS IN WEEK TOTAL $70,353,000 Demand on Stock Exchange Exceptionally Good for Seasoned Investment Issues.MANY ADVANCES RECORDEDSubscriptions Aggregating, $100,000,000 Received for the$25,000,000 N.Y. Central 5s."
1929,1920,"Won by R W Ballard Ballard, Civilian, With a Rifle Score of 99, Wins Marine Corps Cup at Camp Perry "
1922,1920,"Harry Frazee, owner of the Boston Red Sox, returned to his office in this city yesterday after a visit to the training camp of the club at Hot Springs, Ark.   FRAZEE IS OPTIMISTIC. Owner of Red Sox Believes Team Has Chance for Pennant."
1928,1920,MERCHANTS HOLD MEETING. Department Store Officials Confer at Atlantic City.
1925,1920,Articles on yacht races ARDETTE WINNNER OF CHILDS TROPHY Cowl's Sloop Shows She Has Speed in Heavy as Well as Light Weather. RIVAL IN SECOND PLACE Defender Question Compelled to Change Rig and She Finishes Far in the Rear.
1925,1920,"Marries Mrs M Ormsby Old Soldier, 87, Takes Bride, 80. "
1923,1920,Annual survey PHILADELPHIA RENT HIGHER Shortage of Houses Is Reported De- spite Record Building in 1922.
1925,1920,G D Foster elected capt FOSTER IS SWIM CAPTAIN. Chosen Leader by Rutgers Varsity Team for Coming Year.
1928,1920,London view FALL IN STOCKS MAY SEND CAPITAL ABROAD London Sees Advantage to Foreign Borrowers in Our StockExchange Liquidation.
1921,1920,"WALKED HOME, SHOT. Boy Shoots Chum by Mistake--Both Go for a Stroll."
1928,1920,Sadie Phirsichbaum in Recital. 
1926,1920,"WASHINGTON, Sept. 26. -- Wayne B. Wheeler, general counsel of the Anti-Saloon League, assailed tonight the second annual report of the Moderation League, made public in New York today, that under prohibition drunkenness has increased and that the Federal liquor law has generally proved a failure. He said:   WHEELER SAYS FIGURES ERR. Holds Wet League's Statistics Fail to Consider Growth of Nation."
1927,1920,"Performance of Strindberg's Miss Julie at Cambridge banned STRINDBERG PLAY BANNED. British Censor Forbids Public Performance of ""Miss Julie."""
1928,1920,"Plans for flight from London to Los Angeles with Capt Lancaster PLANS 5,000-MILE FLIGHT. Captain Lyon Tells of Proposed Hops From London to Los Angeles."
1920,1920,"WASHINGTON, Oct. 14.--The District of Columbia Supreme Court, at the request of counsel for the Government, today postponed for one week hearing on the proposal of the ""Big Five"" packing companies to dispose of their stockyard holdings to F.H. Prince  Co. of Boston.   PACKERS' PLAN HELD UP. Hearing on Scheme for Stock Yards Delayed for Week by Court."
1929,1920,"Won by T Ottey SENIOR TITLE RUN IS WON BY OTTEY Meadowbrook Harrier Helps His Club Capture Middle Atlantic Team Honors. GOES IN FRONT AT START Athletes Suffer Fram Cold, Three Being Taken III and Dropping Out."
1920,1920,GAIN IN NEW YORK READERS Public Library Shows Large Increase for 1919.
1921,1920,"BERLIN, April 5 (Associated Press).-- The German newspapers which comment today on the communication from Secretary Hughes regarding the reparations question are almost a unit in expressing disappointment. They find in it no basis for the optimism which had been professed ...   GERMAN HOPES ARE DASHED. Hughes's Imputing of War Guilt Is Particularly Denounced."
1923,1920,selected to represent Ireland at British Conf of Imperial Prime Ministers Article 3 -- No Title 
1923,1920,Legis passes bill Indiana Passes Soldiers' Bonus Bill. 
1927,1920,"Index of Winter yield RUSSIAN CROPS DOING WELL Condition Reported Better Than Average, but Below ""Good Yield,"""
1927,1920,Lr on missionaries in China MISSIONARIES IN CHINA. Future of Work Is Said to Be Bright and Reports of Danger Exaggerated.
1922,1920,"July apparently has started to equal or beat the record for rain in June, for there has been rain every day so far this month. On Saturday 1.81 inches fell on Sunday .02; on Monday .35, and yesterday .01.   JUNE RAIN: 7.86 IN., 4 DAYS IN JULY, 2.19; Thirty Days Just Ended Shatter All Records for That Month in Last 51 Years. FALL 4.60 ABOVE NORMAL Only 3 Clear Days in 30, With Thunderstorms on 11--Wide Temperature Ranges."
1920,1920,"Workmen began last weak tearing down the old Kip house at 448 Fifth Avenue, between Thirty-ninth and Fortieth Streets. It was one of the few remaining buildings that retained its old residential character in the retail trade area of the avenue.   FIFTH AVENUE LOSES OLD KIP RESIDENCE Six-Story Building Going Up Adjoining $50,000 Wendel Yard.ONCE SOLD TO BURTONS Childs Restaurant Will Soon Open Near Tiffany's, on NorrieFamily Home Site."
1925,1920,"Intrnatl tourney at Buffalo BUFFALO BOWLERS SECOND. Dorman and Pfeiffer Roll 1,220 In A.B.C. 2-Man Event."
1922,1920,"PROVIDENCE, R.I., Mar. 2.--The re-opening of the Hope Company's textile plant at Hope Village in the Pawtuxet Valley today was the first test of strength between mill owners in the valley and striking operatives. In spite of a heavy guard of police and coast artillerymen, ...   TEXTILE MILL OPENS ; Rhode Island Experiment Under Heavy Guard Brings Out Only Handfull. THREE MEN ARE BEATEN Troops Are Reduced--One Plant Declares Open Shop--Men in New Appeal."
1929,1920,U S Bur of Education plans school on King Island in Bering Strait UNITED STATES PLANS A SCHOOL FOR ESKIMOS OF KING ISLAND 
1927,1920,"Cruttwell, M, Princess Des Ursins The Age of Louis XIV THE PRINCESS DES URSINS. By Maud Cruttuell. Illustrated. 442 pp. New York: E.P. Dutton $ Co. $3.50"
1928,1920,Port of N Y Authority repts that R R has asked I C C permission to withdraw plan for free storage at Baltimore and Phila SEEKS TO DROP PLAN TO STORE GRAIN FREE P.R.R. Petitions to Withdraw Storage Program at Baltimore and Philadelphia.
1921,1920,"MIDDLETOWN, Conn., Nov. 30.--C. Lawrence Smith, 23, of Freeport, N.Y., was elected captain of the Wesleyan football team today. He played left tackle on this year's eleven and was a substitute on the varsity eleven last year.   Smith to Lead Wesleyan Eleven. "
1920,1920,"WASHINGTON, Jan. 14.--Further and more determined efforts to bring about ratification of the Peace Treaty are expected to follow the selection tomorrow by the Democratic Senators of a leader to succeed the late Senator Martin of Virginia.   CLOSE FIGHT ON EVE OF DEMOCRATIC CAUCUS Hitchcock Victory Claimed by 24 to 22, but Underwood's Friends Do Not Concede It."
